/var/spool/slurm/slurmd/job775448/slurm_script: line 19: ./venv/bin/activate: No such file or directory
/home/sep4013/.conda/envs/lilac2/lib/python3.13/site-packages/torchio/data/image.py:253: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/TorchIO-project/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
 ----------------- Run Setup Summary -----------------
JOB NAME: lilac_rt_order_50
TASK: temporal_ordering
Target Attribute: timepoint
BACKBONE: resnet18_3D
RUN MODE: train
Num of GPUs: 1
Num of Model Parameter: 33203776
 ----------------- Training initiated -----------------
lr_scheduler.StepLR is set:  [20.0, 0.5]

[Epoch 0/100] [Batch 54/1393] [ loss: 1.321936 ] ETA: 1 day, 17:23:08.695663
[Epoch 0/100] [Batch 55/1393] [ loss: 1.650528 ] ETA: 1 day, 22:12:05.558760
[Epoch 0/100] [Batch 56/1393] [ loss: 3.170634 ] ETA: 1 day, 16:38:46.371411
[Epoch 0/100] [Batch 57/1393] [ loss: 2.495347 ] ETA: 1 day, 19:10:55.334226
[Epoch 0/100] [Batch 58/1393] [ loss: 2.474177 ] ETA: 2 days, 3:41:10.464463
[Epoch 0/100] [Batch 59/1393] [ loss: 1.392725 ] ETA: 1 day, 20:36:21.572594
[Epoch 0/100] [Batch 60/1393] [ loss: 0.762326 ] ETA: 1 day, 16:59:00.247068
[Epoch 0/100] [Batch 61/1393] [ loss: 3.444030 ] ETA: 1 day, 19:16:15.204796
[Epoch 0/100] [Batch 62/1393] [ loss: 1.063999 ] ETA: 1 day, 14:33:09.874694
[Epoch 0/100] [Batch 63/1393] [ loss: 2.002946 ] ETA: 1 day, 20:10:05.660721
[Epoch 0/100] [Batch 64/1393] [ loss: 1.774469 ] ETA: 1 day, 19:29:42.207035
[Epoch 0/100] [Batch 65/1393] [ loss: 1.541152 ] ETA: 1 day, 19:00:23.276696
[Epoch 0/100] [Batch 66/1393] [ loss: 1.491400 ] ETA: 1 day, 19:25:20.896503
[Epoch 0/100] [Batch 67/1393] [ loss: 0.811267 ] ETA: 1 day, 17:30:41.617693
[Epoch 0/100] [Batch 68/1393] [ loss: 0.669143 ] ETA: 1 day, 17:00:17.215385
[Epoch 0/100] [Batch 69/1393] [ loss: 0.711877 ] ETA: 1 day, 17:40:50.396565
[Epoch 0/100] [Batch 70/1393] [ loss: 0.590486 ] ETA: 1 day, 17:36:30.298126
[Epoch 0/100] [Batch 71/1393] [ loss: 0.801417 ] ETA: 1 day, 21:05:28.085828
[Epoch 0/100] [Batch 72/1393] [ loss: 2.293787 ] ETA: 1 day, 16:17:14.654831
[Epoch 0/100] [Batch 73/1393] [ loss: 0.929271 ] ETA: 1 day, 15:32:08.011834
[Epoch 0/100] [Batch 74/1393] [ loss: 1.847387 ] ETA: 1 day, 19:56:27.478998
[Epoch 0/100] [Batch 75/1393] [ loss: 0.998101 ] ETA: 1 day, 15:47:13.088183
[Epoch 0/100] [Batch 76/1393] [ loss: 1.147740 ] ETA: 2 days, 2:19:30.571512
[Epoch 0/100] [Batch 77/1393] [ loss: 0.673870 ] ETA: 1 day, 19:59:10.269524
