,features,timepoint,subject
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 154, 536, 943, 1796, 1912, 2456, 3461, 4772, 6688, 9166, 12151, 15840, 24258, 22112, 23007, 23383, 22885, 20576, 18375, 15766, 16891, 11836, 10853, 10035, 9564, 9068, 8872, 8773, 10807, 8607, 8517, 8692, 8726, 8952, 8988, 9091, 9066, 11584, 9590, 10030, 10275, 10400, 10076, 9550, 8781, 9832, 6695, 5443, 4126, 2864, 2130, 1270, 736, 534, 241, 102, 60, 19, 11, 13, 5, 8, 4, 1, 3, 4, 2, 3, 2, 3, 0, 1, 1, 3, 0, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00012
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32, 139, 325, 632, 838, 1093, 1407, 1635, 2167, 2873, 3674, 4790, 6309, 7771, 9403, 11829, 14452, 17036, 19187, 20092, 19429, 17769, 15672, 13806, 16367, 10900, 10350, 9621, 9251, 8742, 8443, 8217, 7885, 7714, 7516, 7589, 7418, 7402, 7545, 7561, 7560, 7645, 7932, 8261, 8499, 8986, 9409, 9701, 9657, 9332, 9075, 8672, 8140, 7829, 7296, 6747, 6117, 5363, 5029, 4285, 3839, 3323, 2773, 2362, 1910, 1595, 1212, 962, 708, 605, 477, 406, 340, 296, 296, 155, 131, 61, 60, 31, 16, 8, 3, 5, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00012
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35, 374, 770, 1194, 1268, 907, 1348, 1483, 1233, 1918, 2522, 2496, 5046, 7872, 8603, 16369, 20929, 17515, 22474, 20439, 13527, 15785, 14345, 13564, 9638, 12422, 12016, 9144, 11903, 11990, 9329, 12871, 13151, 10110, 14170, 14414, 11180, 15470, 15975, 12371, 16698, 16113, 11364, 13965, 12353, 8011, 9619, 8046, 6616, 4091, 4568, 3545, 1985, 1992, 1502, 785, 717, 480, 263, 241, 177, 100, 127, 63, 43, 58, 42, 31, 33, 21, 19, 20, 16, 13, 8, 8, 12, 8, 13, 6, 6, 5, 6, 3, 6, 6, 1, 5, 6, 4, 1, 3, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00013
13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 94, 142, 234, 212, 438, 780, 979, 2379, 2730, 5515, 5406, 9209, 8063, 12335, 13675, 11095, 15550, 11856, 15820, 11629, 15084, 10498, 13554, 9731, 12787, 12813, 9616, 13423, 10158, 13989, 10687, 14685, 11313, 15148, 15029, 11175, 14686, 10646, 13820, 9907, 12783, 9129, 11664, 8011, 9937, 9540, 6503, 8022, 5751, 7263, 5114, 6387, 4493, 5520, 4799, 3347, 3886, 2453, 2873, 1771, 1805, 1075, 1132, 544, 515, 325, 147, 129, 62, 53, 17, 15, 4, 6, 5, 1, 0, 3, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00013
14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 201, 514, 922, 1379, 2718, 3304, 4622, 6681, 9237, 12388, 15413, 18015, 19088, 18904, 21197, 14382, 12025, 10149, 8808, 7615, 6928, 6191, 5971, 5415, 6284, 4747, 4501, 4325, 4261, 4099, 4146, 4019, 4042, 4061, 5192, 4182, 4229, 4209, 4172, 4146, 4200, 4158, 4055, 3989, 5105, 4069, 3943, 4064, 4193, 4538, 4608, 4849, 5082, 5368, 7133, 6210, 6528, 6666, 6806, 6711, 6714, 6803, 6708, 6555, 7920, 6327, 6022, 5782, 5644, 5189, 5016, 4643, 4468, 4275, 4873, 3651, 3656, 3548, 3461, 3458, 3376, 3241, 3010, 2709, 2823, 1777, 1427, 1141, 851, 661, 461, 329, 207, 126, 84, 35, 25, 8, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00014
15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 194, 506, 967, 2051, 2636, 4251, 6494, 12495, 14053, 16653, 23211, 18740, 17459, 15723, 17535, 12045, 10622, 9394, 10529, 7428, 6849, 6431, 7299, 5600, 5277, 5072, 6145, 4847, 4812, 4806, 6043, 4822, 5214, 5402, 7108, 6019, 6305, 8340, 6858, 6851, 7051, 8845, 7035, 6679, 6525, 7891, 6072, 5709, 5460, 6344, 4911, 4714, 4571, 5398, 4221, 4308, 4156, 5433, 4224, 4226, 5164, 4117, 4035, 4117, 5231, 3900, 3890, 3860, 4627, 3586, 3330, 3020, 3574, 2736, 2574, 2416, 2825, 2067, 1971, 1747, 1857, 1268, 1035, 739, 654, 289, 202, 151, 67, 24, 18, 11, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00014
16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 873, 1767, 3426, 4508, 7076, 12896, 15381, 16918, 19238, 15047, 13533, 14485, 12060, 11540, 13169, 11124, 11035, 12241, 10107, 9810, 11159, 9505, 9725, 11752, 10243, 9934, 11330, 9453, 9026, 10251, 8061, 7967, 9052, 7545, 7634, 8916, 7819, 9394, 7806, 7356, 8013, 6378, 5846, 5962, 4862, 4431, 4751, 3629, 3473, 3915, 3148, 2998, 3509, 2881, 2870, 3257, 2683, 2676, 2840, 2416, 2235, 2523, 2122, 2025, 2158, 1828, 1753, 1981, 1488, 1475, 1615, 1346, 1228, 1318, 975, 857, 886, 666, 515, 488, 362, 273, 267, 155, 125, 123, 76, 60, 30, 29, 26, 19, 11, 9, 6, 2, 4, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00018
17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 213, 356, 742, 948, 1649, 2709, 3105, 5822, 8331, 8736, 12738, 11023, 13977, 13572, 10651, 12304, 9818, 11706, 11028, 8394, 9926, 7503, 8942, 8490, 6644, 7907, 6156, 7247, 7034, 5661, 6796, 6727, 5395, 6558, 5172, 6450, 6509, 5203, 6690, 5330, 6698, 6685, 5314, 6561, 5286, 6399, 6571, 5411, 7000, 7664, 6388, 8377, 7254, 9291, 9537, 7817, 9655, 7528, 8566, 8079, 6040, 7232, 5359, 6405, 5900, 4319, 5210, 4651, 3492, 4012, 2987, 3454, 3018, 2355, 2567, 1962, 2208, 2004, 1468, 1667, 1197, 1207, 958, 585, 568, 311, 274, 140, 68, 62, 22, 11, 3, 6, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00018
18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 577, 5914, 4439, 2324, 1220, 889, 701, 673, 680, 660, 718, 770, 966, 1213, 1551, 2365, 3670, 6137, 10129, 14800, 17934, 19457, 18615, 16583, 14616, 12824, 11301, 10337, 9686, 8926, 8612, 8296, 8002, 7740, 7411, 7502, 7580, 7510, 7586, 7441, 7407, 7473, 7261, 7386, 7035, 7227, 7014, 6942, 7003, 6986, 6988, 9323, 7181, 7522, 7631, 7845, 7860, 7866, 8265, 8448, 8545, 8662, 8755, 8395, 7919, 7331, 6247, 5271, 4344, 3562, 2871, 2330, 1785, 1401, 1084, 921, 747, 608, 523, 364, 335, 296, 180, 154, 116, 83, 48, 42, 20, 19, 5, 5, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00020
19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101, 2063, 2371, 1859, 970, 548, 751, 753, 767, 634, 974, 1232, 1205, 2538, 4419, 8872, 11436, 21633, 24941, 24061, 16002, 18348, 15603, 10380, 12808, 11706, 11209, 8239, 10637, 10463, 7797, 10119, 10162, 10025, 7671, 10127, 10055, 7738, 10476, 10533, 11113, 8792, 12095, 12206, 12160, 9242, 12325, 12716, 9651, 12853, 12600, 11512, 7815, 8979, 7360, 4322, 4539, 3281, 2318, 1206, 1062, 622, 329, 263, 156, 104, 47, 40, 23, 11, 8, 7, 5, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00020
