,features,timepoint,subject
264,"[0, 0, 1, 11, 38, 136, 260, 366, 402, 400, 457, 461, 589, 656, 814, 985, 1322, 1642, 2146, 2954, 3862, 4929, 6344, 7542, 8619, 9524, 10403, 10690, 10148, 9301, 8637, 8061, 7681, 7135, 6866, 6780, 6657, 6752, 6696, 6725, 6933, 6890, 6813, 6832, 7263, 7234, 7240, 7483, 7820, 7881, 7982, 8326, 8433, 8923, 9154, 9271, 9864, 9894, 10089, 10354, 10794, 11120, 11528, 11870, 12132, 12301, 12312, 11723, 11085, 10272, 9295, 5690, 7782, 7068, 6231, 5470, 4683, 4093, 3269, 2780, 2218, 1747, 1273, 949, 685, 558, 383, 239, 183, 135, 113, 75, 68, 51, 50, 35, 21, 17, 17, 6, 6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00290
265,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49, 134, 210, 194, 193, 372, 529, 1216, 2254, 3268, 6479, 7909, 13864, 17485, 15033, 18040, 15994, 11664, 13786, 10662, 12928, 12880, 10261, 12812, 10629, 13526, 14008, 11547, 15154, 12856, 17326, 18729, 16561, 22235, 18744, 23036, 21200, 15436, 17146, 15595, 11497, 12624, 8599, 8583, 6347, 3747, 3254, 1729, 1429, 873, 432, 357, 200, 144, 83, 40, 29, 16, 12, 5, 7, 11, 2, 4, 3, 1, 3, 2, 1, 5, 3, 1, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00290
266,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 374, 1090, 1747, 2579, 3503, 3395, 5861, 7201, 8548, 9637, 10273, 7871, 10730, 10607, 10405, 10113, 7426, 9456, 9255, 9153, 8829, 6468, 8695, 8563, 8686, 8442, 8202, 6208, 8244, 8108, 8099, 7912, 6014, 8287, 8562, 8615, 8762, 6593, 8922, 9078, 8801, 8936, 6703, 8832, 8943, 8513, 8276, 8025, 5740, 7297, 6921, 6469, 6081, 4404, 5571, 5375, 5208, 4996, 3685, 4802, 4846, 4838, 4996, 3719, 4983, 5147, 5066, 5116, 4997, 3557, 4647, 4457, 4089, 3623, 2503, 2976, 2375, 1830, 1311, 739, 732, 480, 301, 186, 105, 84, 48, 47, 27, 13, 14, 14, 21, 7, 5, 2, 2, 4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00291
267,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 338, 1062, 4413, 13581, 24947, 25922, 29226, 29011, 31174, 33799, 31669, 40004, 42808, 39714, 28730, 27654, 21774, 17320, 12532, 13005, 11045, 9306, 7694, 5273, 4528, 2907, 1422, 484, 200, 74, 26, 19, 13, 18, 16, 13, 12, 7, 11, 4, 8, 4, 5, 4, 2, 1, 2, 5, 3, 2, 2, 1, 3, 1, 1, 1, 1, 1, 2, 0, 0, 2, 2, 1, 2, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",5,00291
268,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 287, 828, 634, 456, 293, 506, 528, 601, 762, 662, 1429, 2256, 3289, 3072, 6143, 7894, 9564, 7048, 11269, 11626, 11893, 11576, 7627, 11031, 10716, 10338, 6879, 10073, 10117, 10210, 6923, 10488, 10941, 11004, 11417, 7606, 11712, 11853, 12393, 8471, 13288, 14197, 15066, 10189, 15777, 15675, 15534, 15133, 9927, 14504, 14354, 13722, 8816, 12490, 11193, 9511, 5373, 6740, 5167, 3762, 2849, 1521, 1700, 1130, 790, 348, 329, 196, 99, 62, 19, 31, 19, 14, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00294
269,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 178, 469, 276, 300, 332, 297, 599, 555, 1425, 1459, 3237, 3048, 5996, 7831, 6214, 10577, 7816, 12572, 8761, 13103, 8689, 13307, 8891, 13451, 13722, 9487, 14385, 9647, 14831, 10292, 15765, 10540, 16102, 16224, 10715, 15805, 10551, 15464, 10246, 15161, 9785, 14506, 9407, 13232, 12636, 8106, 11872, 7683, 11511, 7666, 11529, 7458, 10545, 9417, 5409, 6722, 3595, 4195, 2090, 2341, 1144, 1206, 551, 494, 278, 108, 74, 37, 18, 10, 4, 3, 2, 6, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00294
270,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 493, 674, 1384, 1522, 3311, 4069, 8170, 8866, 15253, 12984, 17227, 11968, 14675, 10583, 13255, 9510, 12070, 8438, 10992, 7608, 7423, 9302, 6812, 8910, 6604, 9002, 6670, 8809, 6830, 9170, 7104, 9330, 7126, 9637, 7142, 9387, 6960, 9453, 7265, 9613, 6987, 9334, 7010, 9073, 6593, 6608, 8493, 6188, 7887, 5327, 6666, 4684, 5708, 3917, 4876, 3417, 4371, 2975, 4052, 2850, 3642, 2498, 3282, 2423, 3250, 2425, 3117, 2285, 3060, 2238, 2266, 2946, 2148, 2708, 2036, 2362, 1662, 2217, 1622, 1957, 1369, 1714, 1144, 1247, 805, 939, 540, 512, 270, 222, 105, 92, 46, 37, 14, 9, 5, 4, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00296
271,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 657, 794, 1463, 1336, 2332, 2330, 4495, 4856, 6881, 12530, 11779, 17326, 13409, 17067, 11785, 14911, 10554, 9892, 12327, 8464, 10758, 7573, 9564, 6929, 8944, 6614, 8603, 6435, 6485, 8555, 6585, 8912, 6965, 9333, 6983, 9224, 6829, 6805, 9163, 6889, 9170, 7000, 9465, 7129, 9204, 6509, 8371, 5812, 5696, 7354, 5290, 6860, 4910, 6320, 4537, 5664, 4183, 3884, 4981, 3553, 4542, 3270, 4195, 3006, 3908, 2812, 3479, 2573, 2394, 3122, 2122, 2629, 1975, 2524, 1786, 2299, 1651, 1569, 2071, 1478, 1919, 1320, 1483, 967, 1112, 628, 706, 383, 271, 255, 126, 101, 36, 27, 14, 12, 3, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00296
272,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31, 146, 493, 1182, 2699, 2889, 3783, 4728, 9481, 10043, 12660, 14854, 16133, 21430, 15366, 14562, 13880, 17119, 12086, 11696, 11299, 10904, 14274, 10515, 10536, 10592, 14440, 11334, 11935, 12560, 13157, 18236, 13537, 13555, 12993, 16350, 10967, 10552, 9971, 9497, 11257, 7533, 6633, 5631, 4937, 5361, 3438, 2991, 2689, 3099, 2083, 1922, 1741, 1642, 1917, 1348, 1225, 1207, 1390, 990, 848, 811, 756, 955, 667, 577, 533, 679, 421, 454, 412, 355, 448, 322, 286, 249, 318, 221, 152, 176, 136, 167, 79, 88, 79, 72, 49, 54, 37, 25, 23, 18, 7, 11, 5, 4, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00297
273,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 250, 712, 2130, 2618, 4817, 6815, 6708, 11643, 14917, 12662, 17663, 17795, 12921, 16650, 11913, 14996, 14386, 9975, 12795, 11997, 8736, 11246, 11383, 8443, 11617, 11935, 9429, 13017, 10561, 14457, 15433, 11863, 16132, 16886, 12671, 17014, 16645, 11512, 13510, 8640, 9492, 7869, 5144, 5597, 4624, 3063, 3342, 2741, 1710, 1974, 1712, 1072, 1249, 755, 879, 706, 482, 543, 461, 304, 330, 301, 212, 244, 174, 222, 183, 130, 149, 127, 76, 98, 95, 68, 85, 60, 41, 45, 26, 26, 27, 12, 17, 8, 5, 4, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00297
274,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 425, 480, 425, 526, 611, 684, 1598, 3608, 7512, 13661, 19710, 22673, 20837, 15550, 17084, 16147, 15606, 14923, 14247, 13741, 11208, 13572, 13660, 14106, 14539, 15876, 17718, 20504, 19536, 27327, 31003, 30846, 26238, 20076, 14256, 9178, 4803, 3225, 1604, 912, 491, 318, 264, 202, 87, 66, 42, 38, 28, 26, 20, 19, 8, 7, 6, 10, 3, 3, 3, 4, 3, 7, 4, 7, 2, 2, 5, 3, 6, 3, 4, 3, 2, 3, 2, 2, 0, 1, 1, 2, 2, 0, 2, 2, 1, 1, 0, 2, 4, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00299
275,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 120, 411, 1152, 1308, 1855, 1768, 3128, 4293, 4184, 6476, 6365, 9379, 8974, 11944, 10281, 12831, 10452, 12449, 9828, 12111, 9392, 11512, 9206, 11501, 9460, 11757, 9765, 12364, 10054, 12695, 10619, 13385, 13842, 11850, 14693, 11922, 15200, 12290, 15112, 11790, 14278, 10920, 12608, 9233, 11156, 8247, 9874, 7889, 9464, 7692, 9233, 7027, 7596, 5109, 5009, 3018, 2670, 1610, 733, 472, 194, 119, 49, 33, 7, 9, 4, 8, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00299
276,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45, 143, 307, 286, 496, 644, 921, 988, 1928, 2894, 4364, 4630, 8609, 12229, 15205, 13428, 19269, 19193, 17479, 11672, 14187, 13272, 12648, 9202, 12126, 11653, 8977, 11750, 11904, 11977, 9086, 11909, 11748, 11962, 8984, 12361, 12935, 13703, 10433, 14361, 14074, 13101, 8897, 11050, 10015, 9390, 6823, 8857, 8473, 8219, 5701, 7367, 6642, 4373, 4991, 4001, 3074, 1809, 1810, 1341, 873, 442, 371, 215, 99, 30, 23, 10, 3, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00300
277,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 101, 271, 667, 733, 1144, 1600, 2318, 3248, 4728, 6857, 9575, 13241, 16699, 19395, 20262, 18842, 16624, 18666, 13785, 13002, 12568, 12184, 11874, 11906, 11688, 11601, 11630, 11668, 11353, 11440, 11584, 14898, 12256, 12921, 12755, 12726, 12166, 11829, 11385, 10713, 10419, 10146, 9742, 9344, 8705, 9866, 7058, 6109, 4988, 3834, 2948, 2148, 1420, 1002, 610, 374, 188, 82, 47, 22, 4, 4, 4, 1, 2, 3, 0, 2, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00300
278,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288, 1605, 926, 516, 601, 709, 1242, 2377, 6254, 14568, 28922, 36407, 38545, 25406, 19736, 16507, 17290, 14464, 14791, 15066, 15375, 18250, 16285, 16135, 16135, 18389, 15280, 13686, 11758, 11533, 8795, 9034, 10113, 15098, 16336, 16156, 12481, 8888, 3726, 1442, 567, 216, 37, 15, 3, 4, 2, 2, 4, 3, 4, 3, 2, 2, 1, 5, 0, 0, 3, 2, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00302
279,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 99, 286, 315, 257, 182, 270, 352, 337, 596, 686, 1566, 2815, 3681, 9200, 17673, 19159, 28501, 20106, 23760, 20166, 13262, 15945, 11231, 14111, 13806, 10277, 13381, 13595, 10250, 14024, 10688, 14060, 14280, 10580, 13925, 13775, 9928, 12813, 8898, 11015, 10068, 6945, 8386, 7483, 5277, 6368, 4658, 5930, 5804, 4329, 5832, 4311, 5493, 5439, 3870, 4646, 3960, 2508, 2601, 1555, 1604, 1183, 705, 675, 579, 370, 438, 239, 279, 208, 107, 113, 58, 30, 30, 12, 8, 10, 6, 2, 4, 2, 3, 4, 3, 2, 0, 0, 1, 0, 3, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00302
280,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 117, 578, 1049, 1055, 1141, 1574, 2649, 5000, 8954, 13299, 16448, 18157, 18562, 17931, 17412, 13208, 15470, 14376, 13617, 13402, 13762, 14970, 16653, 17904, 19136, 19650, 19759, 19827, 19190, 14652, 17021, 15466, 13712, 11673, 10245, 8788, 7708, 6870, 6079, 5654, 5492, 5243, 4985, 3727, 4208, 3581, 3052, 2546, 1988, 1526, 1071, 737, 477, 305, 158, 66, 42, 26, 6, 4, 6, 3, 3, 3, 4, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00305
281,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 189, 310, 219, 321, 228, 397, 264, 525, 755, 634, 1345, 1259, 2689, 2664, 5336, 7550, 6237, 11376, 8826, 14099, 14744, 9748, 14019, 8939, 12724, 7836, 11135, 10425, 6501, 9443, 6081, 9086, 8890, 5929, 8999, 6004, 8956, 6205, 9413, 9363, 6421, 10076, 6967, 10474, 7389, 11509, 12046, 8114, 12708, 8927, 13506, 13741, 8992, 13562, 8851, 12671, 8195, 11846, 11058, 7009, 9636, 5839, 8086, 4787, 6144, 5213, 2902, 3672, 2109, 2520, 2076, 1065, 1305, 673, 710, 377, 407, 315, 115, 134, 64, 45, 23, 9, 15, 5, 3, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00305
282,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 174, 699, 2535, 6481, 12188, 18148, 27923, 24262, 22698, 20005, 17343, 17983, 13384, 12331, 11282, 10631, 11375, 8555, 7975, 7598, 7310, 7025, 8360, 6666, 6656, 6755, 6849, 8305, 6906, 6852, 6750, 6842, 8088, 6990, 6889, 7025, 7314, 8897, 7613, 7424, 7312, 7341, 7109, 8107, 6554, 6172, 5717, 5152, 5936, 4648, 4164, 3700, 3432, 3752, 2565, 2413, 2166, 2058, 2191, 1811, 1607, 1479, 1428, 1322, 1566, 1186, 1118, 1046, 1023, 1149, 884, 828, 800, 748, 785, 623, 485, 465, 416, 407, 267, 186, 178, 146, 99, 103, 55, 40, 40, 32, 22, 17, 9, 7, 9, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00307
283,"[0, 0, 0, 0, 0, 2, 114, 1557, 2858, 2360, 1749, 1341, 1290, 1264, 1171, 1275, 1234, 1341, 1379, 1704, 2062, 2585, 4296, 4244, 5487, 6935, 8357, 9353, 10175, 10194, 9714, 9410, 9016, 8736, 8639, 8583, 8453, 8579, 8275, 8417, 8089, 8310, 8210, 8047, 8294, 7944, 7993, 10695, 8238, 8184, 8344, 8301, 8486, 8477, 8773, 8437, 8560, 8458, 8407, 8433, 8188, 8311, 8322, 8173, 8229, 7958, 8070, 8028, 8251, 8134, 8167, 8286, 10637, 7755, 7373, 6890, 6262, 5605, 4996, 4226, 3638, 3090, 2684, 2206, 1759, 1415, 1153, 927, 717, 497, 394, 282, 187, 129, 80, 53, 34, 25, 10, 10, 9, 4, 2, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00307
284,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 212, 469, 796, 1571, 2070, 4177, 6944, 8047, 13249, 14754, 14670, 11357, 12669, 11392, 10215, 7971, 9133, 8629, 8674, 6833, 8527, 8555, 8310, 6626, 8278, 8357, 8257, 6574, 8487, 8095, 8112, 6440, 8154, 7963, 6559, 7879, 7824, 7808, 6399, 7920, 7953, 7988, 6470, 8137, 8253, 8328, 6678, 8216, 8023, 7863, 6023, 7414, 7017, 6506, 4937, 6017, 5564, 4195, 4887, 4527, 4327, 3247, 3933, 3786, 3446, 2732, 3483, 3372, 3301, 2582, 3082, 3080, 2875, 2274, 2625, 2500, 2370, 1760, 1970, 1799, 1732, 1316, 1424, 1308, 858, 862, 670, 419, 262, 206, 137, 90, 31, 36, 11, 10, 1, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00309
285,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 1075, 2506, 1627, 1153, 850, 602, 571, 539, 530, 613, 1146, 1218, 1942, 3053, 4659, 6725, 8816, 10738, 12177, 12915, 12848, 12644, 12552, 11776, 11421, 11263, 11130, 10888, 11086, 11049, 11150, 11462, 11470, 11618, 12087, 12110, 12787, 12738, 13155, 13068, 13213, 13301, 13596, 13508, 18273, 13440, 13084, 12411, 11886, 11215, 10467, 9363, 8178, 7206, 6247, 5121, 4303, 3514, 2850, 2320, 1842, 1392, 1066, 787, 550, 341, 221, 160, 118, 76, 54, 36, 27, 18, 16, 4, 5, 3, 0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00309
286,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 359, 1804, 1515, 1730, 2111, 2988, 5329, 6874, 9346, 11077, 11420, 13213, 10129, 9288, 8774, 8139, 7965, 9006, 6963, 6716, 6203, 5973, 6846, 5842, 6139, 6215, 6570, 8379, 7468, 7439, 7589, 7644, 9183, 7637, 7301, 7374, 7389, 7235, 9212, 7673, 7860, 7978, 7833, 9573, 7993, 7888, 7937, 7846, 9275, 7789, 7596, 7205, 7037, 8028, 6518, 6176, 6032, 5677, 5657, 6500, 5205, 4893, 4483, 4288, 4433, 3431, 3211, 3020, 2769, 3249, 2457, 2364, 2270, 2179, 2717, 2160, 2307, 2377, 2388, 2411, 2916, 2311, 2298, 2118, 1961, 2243, 1614, 1385, 1138, 862, 882, 459, 310, 154, 133, 69, 46, 15, 12, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00311
287,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 780, 1378, 1653, 1998, 3540, 5843, 9266, 10651, 14512, 14180, 12785, 9399, 9852, 8864, 8352, 6535, 7529, 7405, 7377, 6287, 7540, 8109, 9143, 8172, 10165, 10476, 10822, 9313, 11322, 11416, 11901, 10123, 12439, 12593, 12049, 9867, 11315, 10650, 10099, 8137, 9552, 9455, 9256, 7547, 8745, 8322, 7901, 6081, 6809, 6041, 5649, 4406, 4764, 3991, 3456, 2712, 3110, 2921, 2811, 2254, 2482, 2547, 2438, 2112, 2372, 2384, 2339, 1938, 2306, 2274, 2154, 1829, 2069, 1953, 1820, 1396, 1582, 1354, 1226, 859, 837, 661, 453, 263, 236, 163, 111, 54, 61, 37, 29, 4, 7, 9, 7, 7, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00311
288,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 47, 125, 189, 413, 703, 1196, 1866, 3288, 5695, 9646, 10950, 20081, 25756, 29399, 29225, 24861, 19277, 14701, 12149, 8245, 10457, 9764, 9273, 9093, 9229, 9229, 9016, 6809, 9201, 9026, 9139, 9188, 9458, 9972, 11021, 8663, 12556, 13306, 13585, 13930, 14118, 13273, 12214, 11033, 7298, 8466, 6687, 5235, 3931, 2888, 2121, 1595, 963, 962, 633, 411, 216, 90, 42, 15, 7, 4, 2, 7, 4, 5, 6, 2, 3, 2, 2, 2, 3, 2, 3, 0, 2, 1, 0, 0, 1, 2, 1, 0, 1, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00313
289,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 199, 506, 881, 1804, 2528, 4217, 7241, 11461, 16091, 24060, 21739, 21633, 20074, 17240, 16918, 11139, 9654, 8584, 8139, 7435, 8679, 7143, 7138, 7013, 7159, 7013, 8334, 6750, 6441, 6597, 6359, 7670, 6271, 6281, 6275, 6172, 5888, 6934, 5738, 5593, 5452, 5315, 6238, 5322, 5454, 5525, 5614, 5779, 6777, 5597, 5370, 5515, 5447, 6143, 4848, 4767, 4561, 4585, 4496, 5041, 3901, 3849, 3656, 3269, 3838, 2980, 2757, 2643, 2588, 2452, 2819, 2208, 2266, 2112, 1980, 1839, 1980, 1500, 1310, 1169, 995, 1098, 793, 744, 566, 469, 390, 310, 194, 135, 117, 65, 67, 28, 20, 10, 9, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00313
290,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36, 102, 86, 128, 106, 157, 211, 290, 466, 715, 1532, 1895, 2934, 4120, 5575, 7861, 13913, 12615, 13550, 13902, 13677, 13064, 12463, 15363, 11034, 10481, 10202, 10006, 9943, 9702, 13238, 9990, 10203, 10215, 10327, 10649, 14356, 11045, 11268, 11684, 11809, 11989, 12238, 16519, 12470, 13203, 13758, 14147, 13791, 13225, 15019, 9719, 8247, 6736, 5813, 4887, 5531, 3328, 2827, 2330, 1828, 1369, 867, 668, 229, 140, 80, 27, 17, 15, 10, 6, 8, 3, 11, 4, 5, 1, 2, 4, 0, 3, 3, 1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,00316
291,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 69, 64, 73, 103, 135, 166, 251, 530, 647, 1100, 1698, 2578, 3737, 7564, 8312, 10678, 13034, 13929, 14493, 18573, 12871, 12218, 11538, 11234, 10763, 14589, 10567, 10780, 11043, 11141, 11203, 11424, 15744, 11593, 11753, 11928, 11889, 12150, 16315, 12660, 13029, 13432, 13924, 14786, 20373, 14778, 13791, 11960, 10395, 8663, 9208, 5677, 4750, 3847, 3241, 2824, 2242, 1960, 884, 509, 256, 107, 60, 53, 24, 10, 13, 5, 7, 8, 9, 3, 1, 2, 2, 2, 0, 5, 0, 1, 1, 0, 1, 0, 3, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,00316
